Industry  Industry name,Variance  Full Year Net Profit Variance,Equity  Latest Equity,Face Value  Latest Face Value,Reserves  Total Reserve,Dividend  Full Year Dividend %,Sales Turnover  Full Year Net Sales,Net Profit  Full Year Net Profit,Full Year CPS  Full Year Cash Per Share,Earning Per Share  Full Year Earning Per Share,Quarter CPS  Latest quarter Cash Per Share,Latest Quarter Date  Latest Quarter Yrc,Latest Quarter Sales  Latest Quarter Net Sales,Previous EPS  Previous earnings per share,Book Value  Book value,Networth  Full Year Return on Networth,Price/Book Value  Price to Book value,Yearly PE ratio  Full Year Price to Earning per share,Yearly PC ratio  Full Year Price to Cash Per Share,Bse value  BSE Value in lakhs,Nse value  NSE Value in lakhs,High  52 week high,Low  52 week low,Price  NSE Current market price,CPM  Current market price,Market cap  BSE / NSE Market Cap,Net profit  Latest Quarter Net Profit,Net profit variance  Latest Quarter Net Profit variance,Result year  Trailing latest month,TTM Sales  Trailing Twelve 12 month Net Sales,TTM OP  Trailing Twelve 12 month Operating  Profit,TTM OPM  Trailing Twelve 12 month Operating  Profit  Margin,TTM GP  Trailing Twelve 12 month Gross  Profit,TTM GPM  Trailing Twelve 12 month Gross  Profit Margin,TTM NP  Trailing Twelve 12 month Net Profit,TTM NPV  Trailing Twelve 12 month Net Profit  Variane,TTM EPS  Trailing Twelve 12 month EPS,TTM PE  Trailing Twelve 12 month PE,TTM CPS  Trailing Twelve 12 month CPS,Month CPS  Month Cash Per Share,TTM Depreciation  Trailing Twelve 12 month  Depreciation,Equity  Latest Equity,LTP  Latest Price (BSE/NSE),Gross block  Latest Gross Block,Loans  Total loans,Advances  Latest Advances for Banks,Net profit asset  Latest Assets,Year OPM  Full Year Operating Profit Margin,Year GPM  Full Year Gross Profit Margin,Quarter OPM  Latest quater Operation Profit Margin,stock name
Textiles,-3785,23.46,10,207.53,0,564.68,-40.12,-0.8,-17.1,0,1-Mar-20,116.94,0,98.5,-16.63,0.192893,-1.1,-25.3,2.19,1.65,30,10,19,19,43.52,7.88,1894,1-Mar-20,564.68,-1.73,-0.31,-17.17,-3.04,-40.12,-3784.57,0,0,0,0,38.35,23.46,19,462.21,111.59,0,0,6,-3,15,AARVEEDEN
Capital Goods - Electrical Equipment,-49,42.38,2,3564,250,5820.95,174.86,13.9,8.3,0,1-Jun-21,1412.9,0,170.2,4.91,10.857814,222.7,132.7,104.78,3757.19,1934,849,1849,1848,39168.08,70.26,371,1-Jun-21,6376.95,456.01,7.15,517.44,8.11,290.82,46,13.72,134.65,0,0,122.05,42.38,1848,1129.63,0,0,0,4.7,6.1,6.7,ABB
Finance,22,2415.87,10,11325.92,0,19259.72,1126.44,5.1,4.7,0,1-Jun-21,4298.99,0,56.9,8.4,1.862917,22.7,20.6,284.17,2550.91,140,58,106,106,25620.34,302.03,52,1-Jun-21,17787.71,5316.15,29.89,1775.05,9.1,862.08,44.13,5.09,20.83,0,0,109.9,2415.87,106,1840.27,6749.54,0,0,27.5,8.6,27.9,ABCAPITAL
Retail,-331,937.31,10,1833.2,0,5248.92,-674.96,3.1,-7.2,0,1-Jun-21,811.95,0,29.6,0,7.398649,-30.4,71.3,355.3,7705.42,234,120,219,219,20564.55,-347.14,15,1-Jun-21,5765.77,190.52,3.3,202.94,3.54,-778,-3.24,0,0,0,0,936.67,937.31,219,7600.06,3567.42,0,0,11.1,2.4,-20.8,ABFRL
Infrastructure Developers & Operators,-45,3.47,10,16.58,0,39.06,0.96,4.3,2.8,0,,0,0.7,57.8,4.93,0.346021,7.1,4.6,0,0.4,27,14,20,0,6.94,0.26,-81,1-Mar-21,39.06,2.44,6.3,1.86,4.8,0.96,-45,2.8,7.1,0,0,0.54,3.47,20,6.23,2.95,0,0,6.3,4.8,0,ACCORD
Logistics,127,15.06,10,66.78,0,365.23,8.62,13.9,5.7,11.8,1-Jun-21,158.68,0,54.3,5.42,2.633518,25,10.2,0,1504.76,149,26,143,0,214.85,5.42,999,1-Jun-21,484.25,38.08,7.86,31.85,6.58,13.93,0,9.25,15.46,0,0,12.32,15.06,143,96.23,0.29,0,0,8,6.7,8,ACCURACY
Capital Goods-Non Electrical Equipment,47,22.7,2,500.58,25,1227.15,75.86,7.9,6.7,0,1-Jun-21,321.5,0,46.1,16.52,5.16269,35.6,30.1,247.26,1757.72,272,59,238,238,2697.5,19.31,550,1-Jun-21,964.03,73.75,7.65,152.91,10.56,36.65,184.43,9.11,26.09,0,0,13.88,22.7,238,563.46,0.22,0,0,9.7,9.9,9.4,ACE
Trading,15,109.98,1,17048.59,100,39537.13,1097.17,14.9,10,0,1-Jun-21,12578.77,0,156,5.4,10.038462,157,105.4,971.46,26411.81,1718,257,1566,1566,172175.27,271.46,811,1-Jun-21,38768.61,1964.44,5.07,2140.67,4.57,879.63,93.52,12.26,127.69,0,0,510.99,109.98,1566,13034.52,6608.07,0,0,5.7,4.1,6.3,ADANIENT
Power Generation & Distribution,65,1564.01,10,-703,0,3124,294.71,5,1.9,0,1-Jun-21,970,0,5.5,9.9,196.363636,573.2,216.4,129.17,11802.58,1394,421,1081,1080,168882.26,151.87,108,1-Jun-21,2518.71,1495.05,59.36,927.45,28.35,156.87,39.31,2.13,0,0,0,439.08,1564.01,1080,19245,5324,0,0,68.9,21.5,77.7,ADANIGREEN
Infrastructure Developers & Operators,31,408.35,2,30853.38,250,12549.6,4997.07,34.8,24.5,0,1-Jun-21,4556.81,0,153.1,18.06,4.931417,30.8,21.7,1337.41,33861.85,901,312,755,755,154152.26,1306.69,72,1-Jun-21,11452.65,6466.5,56.46,9123.18,61.59,3831.58,58.43,27.15,27.81,0,0,1795.71,408.35,755,56915.48,23958.44,0,0,63.5,66.9,49,ADANIPORTS
Power Generation & Distribution,204,3856.94,10,-5132.28,0,26221.48,1280.84,11.6,3.3,0,1-Jun-21,6568.86,0,-3.3,7.58,-31.212121,31,8.9,3303.74,12235.62,167,35,103,103,39784.33,278.22,141,1-Jun-21,25700.29,7083.5,27.56,6565.45,23.8,-469.67,182.81,5.78,17.85,0,0,3162.04,3856.94,103,70463.92,9896.59,0,0,33.1,20.9,25.1,ADANIPOWER
Power Generation & Distribution,64,1099.81,10,4989.77,0,9926.33,1224.04,23.2,11.1,0,1-Jun-21,2829.65,0,55.4,14.81,31.516245,156.9,75.2,338.11,11631.56,1749,232,1751,1746,192043.34,435.42,14,1-Jun-21,10567.18,4262.28,40.34,2971.09,28.82,888.28,39.91,11.6,150.53,0,0,1289.16,1099.81,1746,32008.55,1010.28,0,0,39.8,29.7,49.1,ADANITRANS
FMCG,15,20.02,10,235.47,30,369.32,49.7,27.8,24.8,0,1-Jun-21,86.19,0,127.6,20.95,6.841693,35.2,31.4,64.06,363.89,1049,333,871,873,1748.48,11.14,29,1-Jun-21,318.32,51.21,16.09,75.62,19.81,45.46,25.02,26.25,33.27,0,0,6.13,20.02,873,114.57,0,0,0,18.3,19.7,14.4,ADFFOODS
Capital Goods-Non Electrical Equipment,-41,13.6,10,223.94,0,447.68,15.51,19.6,11.4,0,1-Jun-21,127.88,0,174.7,6.4,3.863766,59.2,34.4,6.23,23.78,808,235,677,675,918.34,6.75,3653,1-Jun-21,418.67,20.39,4.87,6.29,1.21,8.07,-14.35,13.91,48.54,0,0,11.18,13.6,675,285.56,0,0,0,-0.5,-0.6,8.7,ADORWELD
IT - Software,127,18.27,10,-11.11,0,8.02,0.28,0.3,0.2,0,1-Dec-20,1.94,0,3.9,0,2.820513,72.1,33,0.48,0.41,12,4,11,11,19.89,0.59,225,1-Dec-20,8.24,-29.63,-359.6,-29.32,-387.25,1.54,280.09,1.07,10.18,0,0,0.22,18.27,11,14.51,5.67,0,0,-383.8,-385.2,33.9,ADROITINFO
IT - Software,0,25.35,5,443.63,15,358.08,19.24,8,3.8,0,1-Jun-21,98.24,0,92.5,4.15,0.756757,18.4,8.7,28.74,134.67,77,20,70,70,356.71,4.66,6,1-Jun-21,345.29,38.47,11.14,45.59,12.21,14.2,19.41,3.85,18.27,0,0,22.92,25.35,70,440.47,21.67,0,0,12.5,12.6,11.9,ADSL
Hotels & Restaurants,0,9.24,2,34,0,27.47,-4.08,0,0,0,1-Jun-21,1.83,0,9.4,22.13,7.340426,0,0,2.36,7.61,98,38,69,69,317.06,-4.07,14,1-Jun-21,29.29,-1.89,-6.45,-1.28,-4.37,-3.42,0,0,0,0,0,3.19,9.24,69,61.68,0.58,0,0,-9.8,-7.9,-267.2,ADVANIHOTR
Chemicals,13,22.36,2,948.31,45,501.84,145.68,15.6,13,0,1-Jun-21,137.01,0,86.8,16.73,4.354839,29,24.3,56.2,324.88,503,196,379,378,4229.13,38.04,11,1-Jun-21,453.1,211.81,46.75,245.51,46.47,136.37,15.25,13.42,28.19,0,0,26.57,22.36,378,752.52,4.28,0,0,46.3,47.6,45.8,ADVENZYMES
Trading,124,35.1,1,1901.37,200,3843.46,223.38,8.4,6.4,0,1-Jun-21,678.06,0,55.2,8.8,4.692029,40.7,30.8,72.28,1008.63,394,196,259,259,9103.19,66.6,123,1-Jun-21,4697.04,372.26,7.93,448.59,11.55,170.8,258.98,7.41,35,0,0,71.41,35.1,259,1870.27,81.91,0,0,10.1,10.6,15.5,AEGISCHEM
Miscellaneous,106,26.65,10,932.11,0,516.78,134.8,58,50.6,0,1-Jun-21,152.47,0,359.8,45.94,12.790439,91,79.4,376.43,1800.44,6287,2452,4604,4602,12263.36,35.73,90,1-Jun-21,399.21,104.34,26.14,189.5,32.7,82.48,113.58,56.98,80.76,0,0,17.41,26.65,4602,456.26,29.41,0,0,25.1,32.4,23,AFFLE
Petrochemicals,59,12.47,10,206.86,18,903.9,40.53,44.1,32.5,0,1-Jun-21,407.94,0,175.9,17.56,1.836271,9.9,7.3,11.7,36.25,385,74,322,323,402.08,15.07,277,1-Jun-21,715.31,43.72,6.11,78.67,6.76,21.42,124.28,41.4,7.79,0,0,10.97,12.47,323,132.02,0,0,0,8,7,5.9,AGARIND
IT - Software,-14,32.53,10,174.17,0,4674.02,103.87,61.3,31.9,0,1-Jun-21,1195.22,0,63.5,178.25,15.03937,29.9,15.6,13.2,69.22,1771,306,957,955,3107.96,34.3,278,1-Jun-21,4718.81,244.44,5.18,226.51,4.65,152.38,24.06,40.14,23.8,0,0,98.68,32.53,955,755.82,404.08,0,0,6,4.1,4.2,AGCNET
Miscellaneous,68,5.94,10,97.17,0,0.19,-0.4,-0.6,-0.7,0,1-Jun-21,0.28,0,173.6,-0.36,0.293779,-76,-80.5,12.03,14.7,55,26,50,51,30.12,0.14,118,1-Jun-21,0.19,-1.79,-928.62,-3.13,-1123.78,-1.16,-12.11,0,0,0,0,0.02,5.94,51,13.3,15.64,0,0,-1647.7,-1531.6,20.6,AGRITECH
Fertilizers,-19,20.27,10,21.38,0,59.98,3.18,2.1,1.6,1.2,1-Jun-21,21.23,0,20.5,10.73,0.731707,9.4,7.1,0,11.15,21,7,15,0,30.51,1.28,191,1-Jun-21,63.12,7.56,11.98,5.7,9.03,4.02,-1,1.98,7.56,0,0,1.12,20.27,15,16.66,0,0,0,10.7,7.8,11.3,AGROPHOS
Steel,59,12.92,10,106.09,0,159.05,10.19,16.8,7.9,11.5,1-Jun-21,52.37,0,92.1,5.79,1.715527,20,9.4,0,22.76,248,40,158,0,204.41,3.38,31,1-Jun-21,189.98,32.33,17.02,27.86,14.66,10.98,0,8.5,18.59,0,0,12.33,12.92,158,116.72,5.6,0,0,18.6,16.2,19.4,AHLADA
Hotels & Restaurants,11,11.53,10,712.85,0,54.36,-29.95,-9.2,-26,0,1-Jun-21,11.56,0,628.4,-4.44,0.288033,-7,-19.7,2.57,4.4,239,126,179,181,208.42,-11.09,-4,1-Jun-21,101.55,5.93,5.84,-15.64,-25.34,-22.16,-189.64,0,0,0,0,22.95,11.53,181,1014.02,0,0,0,-18.7,-25.4,-49.4,AHLEAST
Realty,20,13.4,2,865.35,0,1982.19,77.26,16.1,11.5,0,1-Jun-21,580.1,0,131.2,9.18,2.926829,33.3,23.9,14.43,101.67,430,202,383,384,2571.65,34.78,366,1-Jun-21,1731.58,119.21,6.88,171.41,7.41,52.64,118.86,15.6,24.61,0,0,30.77,13.4,384,371.69,51.35,0,0,7.8,6.8,10.4,AHLUCONT
Hotels & Restaurants,-99,11.65,10,27.03,0,431.18,1.05,45.5,0.9,0,1-Dec-20,33.89,0,33.2,0.46,8.584337,317.2,6.3,2.76,8.37,345,179,288,285,332.06,-37.37,-319,1-Dec-20,270.5,76.17,28.16,-53.73,-30.36,-54.35,-271.4,0,0,0,0,52.2,11.65,285,1183.79,194.4,0,0,35.4,14.2,-5.1,AHLWEST
"Castings, Forgings & Fastners",-4,18.86,2,4225.45,450,2881.49,540.38,67.2,57.3,0,1-Jun-21,730.32,0,450,14.24,4.662222,36.6,31.2,84.36,4691.18,2224,1622,2097,2098,19792.66,149.33,16,1-Jun-21,2782.54,667.67,24,837,28.02,573.65,1.17,62.13,33.78,0,0,100.47,18.86,2098,1282.94,119.47,0,0,22.9,28.6,23.5,AIAENG
IT - Software,-17,25,2,60.99,0,62.86,5.57,0.8,0.4,0.4,1-Jun-21,16.95,0,6.9,8.27,3.333333,0,0,0,5.87,36,11,23,0,289.42,1.38,999,1-Jun-21,69.53,11.39,16.38,13.21,19,6.86,28,0.55,0,0,0,4.3,25,23,64.84,0,0,0,15.9,18.1,12.9,AIRAN
Miscellaneous,14,15,10,34.68,0,133.28,5.46,5.2,3.6,0,,0,1.6,33.1,11.42,1.63142,15,10.4,0,19.61,59,19,54,0,81.15,2.45,4,1-Mar-21,133.28,11.57,8.7,10.07,7.6,5.46,14,3.6,15,0,0,2.35,15,54,26.82,5.51,0,0,8.7,7.6,0,AIROLAM
Pharmaceuticals,39,17.31,2,2978.24,475,2889.69,655.44,89.2,75.7,0,1-Jun-21,747.99,0,346.2,23.38,6.383593,29.2,24.8,78.6,616.86,2420,1422,2214,2210,19124.39,173.75,18,1-Jun-21,2717.28,831.93,30.62,1032.89,34.78,556.7,35,78.57,28.13,0,0,105.99,17.31,2210,2140.78,29.67,0,0,34.6,35.2,29.4,AJANTPHARM
Realty,-8,35.48,10,629.18,14,346.72,30.18,9,8.5,0,1-Jun-21,134.62,0,187.3,4.83,1.92205,42.3,40,10.75,65.14,369,79,358,360,1276.75,10.26,391,1-Jun-21,290.44,74.89,25.79,54.47,12.33,21.19,56.49,10.81,33.29,0,0,2.11,35.48,360,117.47,775.75,0,0,27.5,12.3,24.8,AJMERA
Miscellaneous,23,10.01,10,5.47,0,51.04,0.37,1,0.4,0.9,1-Jun-21,15.85,0,15.5,2.14,3.419355,0,0,0,24.33,76,26,53,0,53.33,0.31,3,1-Jun-21,57.05,1.7,2.98,1.09,1.91,0.38,0,0.38,0,0,0,0.61,10.01,53,3.33,4.87,0,0,3.3,2.1,4.6,AJOONI
Construction,74,16.86,10,60.32,1,67.06,1.12,1.6,0.7,1.2,1-Jun-21,13.04,0,45.8,0.84,3.777293,0,110.8,0,211.83,281,146,173,0,291.38,0.48,300,1-Jun-21,68.12,4.99,7.33,3.07,4.51,1.48,999,0.88,0,0,0,1.34,16.86,173,32.22,2.8,0,0,6.6,4.2,12.5,AKASH
Trading,-1,10.59,10,10.33,0,78.68,1.07,1.2,1,0.3,1-Jun-21,15.13,0,19.8,5.67,1.262626,0,21.1,0,1.39,113,21,25,0,26.11,0.14,0,1-Jun-21,87.46,3.07,3.51,2.63,3.01,2,0,1.89,13.24,0,0,0.2,10.59,25,1.45,0,0,0,2.9,2.1,1,AKG
Chemicals,-26,8.2,10,257.11,35,260.15,15.48,26.4,18.2,0,1-Dec-20,66.93,0,323.5,6.02,0.717156,12.8,8.8,7.59,24.34,299,140,231,232,190.59,3.35,54,1-Dec-20,240.87,24.88,10.33,24.7,10.25,12.49,6,15.23,15.23,0,0,6.9,8.2,232,0,0,0,0,10,9.8,9.8,AKSHARCHEM
Cables,39,81.35,5,21.81,0,272.16,-24.53,0,-1.5,0,1-Jun-21,74.72,0,6.3,0,1.428571,-6,38486.1,5.08,16.89,14,5,8,9,138.29,-0.6,95,1-Jun-21,264.44,-309.69,-117.11,12.47,4.18,-40.92,69.29,0,0,0,0,26.58,81.35,9,512.51,36.01,0,0,9.1,-0.2,16.4,AKSHOPTFBR
Paints/Varnish,-12,45.54,10,1241.6,500,2421.4,209.49,62.6,46,0,1-Jun-21,626.38,0,282.6,16.45,7.979476,49,36,23.17,202.47,2510,1904,2255,2255,10270.71,75.91,475,1-Jun-21,2173.66,286.21,13.17,460.9,16.52,180.68,85.64,66.71,33.81,0,0,74.67,45.54,2255,875.9,63.9,0,0,14.1,14.6,14.5,AKZOINDIA
IT - Software,-11,14.3,1,80.02,0,115.01,11.07,1.1,0.8,0,1-Jun-21,32.12,0,6.6,15.41,2.424242,20.7,14.8,7.52,26.77,27,12,16,16,221.59,3.58,30,1-Jun-21,128.56,19.93,15.5,21.31,17.84,13.66,-12.02,0.83,18.67,0,0,4.74,14.3,16,68.25,0,0,0,14.9,16.5,16.9,ALANKIT
Pharmaceuticals,13,5.71,10,238.67,60,247.45,21.39,51.9,37.5,0,1-Jun-21,81.1,0,428,9.48,1.406542,16,11.6,41.59,524.21,673,371,602,602,343.57,10.45,0,1-Jun-21,274.82,34,12.37,49.69,18.08,32.9,283,57.62,10.45,0,0,8.2,5.71,602,212.17,0.79,0,0,7.8,14,12.7,ALBERTDAVD
Pharmaceuticals,3,51.36,2,2245.67,10,73.52,339.08,13.4,13.2,0,1-Jun-21,20.82,0,89.5,0.54,1.284916,8.7,8.6,219.94,2066.02,143,82,116,115,2964.55,49.06,-45,1-Jun-21,54.39,2.44,4.49,23.46,28.98,368.77,-20.34,11.81,9.78,0,0,3.73,51.36,115,287.65,0,0,0,15.1,28.5,19.6,ALEMBICLTD
Auto Ancillaries,-111,7.79,5,388.66,0,848.57,-1.93,30.1,-1.2,0,1-Jun-21,210.75,0,254.5,-0.61,3.194499,-658,27,38.75,309.2,948,282,813,813,1265.87,-4.2,90,1-Jun-21,682.16,46.07,6.75,91.64,9.11,-36.11,218.21,24.31,33.42,0,0,46.63,7.79,813,743.28,0,0,0,9.8,5.9,8.1,ALICON
Chemicals,0,10.18,10,38.35,8,55.38,-2.03,1.3,0,2.6,1-Jun-21,13.49,0,47.7,-4.15,1.509434,0,55.3,1.21,44.77,99,41,72,72,72.99,-0.73,12,1-Jun-21,56.13,6.27,11.17,3.85,6.86,-1.93,-54,0,0,0,0,3.38,10.18,72,89.81,3.06,0,0,11,6.7,5,ALKALI
Pharmaceuticals,38,23.91,2,7352.82,1500,8865.01,1554.57,153,130,0,1-Jun-21,2731.36,0,617,23.9,6.213938,29.5,25.1,159.88,4802.5,3946,2544,3835,3834,45841.82,468.12,11,1-Jun-21,8597.12,1889.97,21.98,2183.75,22.74,1464.82,19.62,136.42,28.1,0,0,277.6,23.91,3834,3768.87,1014.42,0,0,21.9,23.9,21.7,ALKEM
Chemicals,120,10.21,2,526.39,400,992.88,189.63,42.4,37.1,0,1-Mar-20,234.77,0,105.1,43.97,39.343482,111.3,97.5,637.4,7130.24,4740,1139,4132,4135,21116.29,49.21,160,1-Mar-20,992.88,-25.79,-2.6,272.66,27.46,189.63,120.46,37.14,111.35,0,0,26.91,10.21,4135,497.04,1.97,0,0,25.9,27.5,28.8,ALKYLAMINE
Logistics,5,49.14,2,2234.4,100,10498.1,194.29,20.4,7.9,0,1-Jun-21,3449.25,0,92.9,9.48,2.443488,28.7,11.1,498.92,3567.51,238,112,227,227,5568.69,93.99,97,1-Jun-21,8071.9,521.43,6.46,612.34,5.16,181.09,-17.45,6.31,35.92,0,0,268.93,49.14,227,3071.52,605.85,0,0,5,4.4,6.3,ALLCARGO
IT - Software,-20,15.24,10,249.88,150,276.69,34.76,38.2,22.8,0,1-Jun-21,71.49,0,174,14.24,2.637931,20.1,12,18.3,304.48,559,223,460,459,699.59,-7.97,-232,1-Jun-21,274.99,61.94,22.52,69.43,24.42,31.9,-45.71,13.86,33.12,0,0,21.24,15.24,459,74.44,21.64,0,0,23.9,24.3,22.1,ALLSEC
Finance,334,15.53,6,148.23,0,61.38,18.47,8.1,7.1,0,1-Jun-21,15.4,0,63.3,3.08,1.169036,10.4,9.1,1.3,14.01,80,10,74,74,191.54,5.55,81,1-Jun-21,55.9,1.07,1.91,25.42,39.16,7.88,285.29,8.1,9.14,0,0,3.87,15.53,74,50.68,10.9,0,0,11.4,37,23.6,ALMONDZ
Pharmaceuticals,174,21.04,10,86.6,0,97.55,7.25,4,3.4,0,1-Jun-21,31.52,0,51.2,2.66,1.015625,15.1,12.9,1.37,12.05,73,26,51,52,108.36,6.46,101,1-Jun-21,81.69,4.62,5.65,15.29,13.56,5.79,172.39,4.99,10.32,0,0,2.2,21.04,52,40.12,0,0,0,7.9,12.3,8.1,ALPA
Oil Drill/Allied,158,6.36,10,256.61,80,143.1,6.44,52.9,10.1,0,1-Jun-21,80.42,0,413.2,-4.2,0.825266,33.7,6.4,15.06,235.75,366,142,341,341,217.2,14.66,203,1-Jun-21,129.59,-8.36,-6.45,74.78,33.46,-27.51,186.74,55.62,6.14,0,0,28.09,6.36,341,334.05,0.04,0,0,10.9,25.4,30.7,ALPHAGEO
Textiles,31,39.11,10,-691.84,0,254.1,-83.72,-19.3,-21.4,0,1-Jun-21,76.35,0,-166.9,0,-0.011983,-0.1,-0.1,0.12,0.57,4,1,2,2,7.78,-14.57,16,1-Jun-21,244.51,-52.31,-21.4,-64.89,-21.33,-112.8,30,0,0,0,0,8.57,39.11,2,387.94,343.81,0,0,-7.4,-26.3,0.9,ALPSINDUS
