Industry  Industry name,Variance  Full Year Net Profit Variance,Equity  Latest Equity,Face Value  Latest Face Value,Reserves  Total Reserve,Dividend  Full Year Dividend %,Sales Turnover  Full Year Net Sales,Net Profit  Full Year Net Profit,Full Year CPS  Full Year Cash Per Share,Earning Per Share  Full Year Earning Per Share,Quarter CPS  Latest quarter Cash Per Share,Latest Quarter Date  Latest Quarter Yrc,Latest Quarter Sales  Latest Quarter Net Sales,Previous EPS  Previous earnings per share,Book Value  Book value,Networth  Full Year Return on Networth,Price/Book Value  Price to Book value,Yearly PE ratio  Full Year Price to Earning per share,Yearly PC ratio  Full Year Price to Cash Per Share,Bse value  BSE Value in lakhs,Nse value  NSE Value in lakhs,High  52 week high,Low  52 week low,Price  NSE Current market price,CPM  Current market price,Market cap  BSE / NSE Market Cap,Net profit  Latest Quarter Net Profit,Net profit variance  Latest Quarter Net Profit variance,Result year  Trailing latest month,TTM Sales  Trailing Twelve 12 month Net Sales,TTM OP  Trailing Twelve 12 month Operating  Profit,TTM OPM  Trailing Twelve 12 month Operating  Profit  Margin,TTM GP  Trailing Twelve 12 month Gross  Profit,TTM GPM  Trailing Twelve 12 month Gross  Profit Margin,TTM NP  Trailing Twelve 12 month Net Profit,TTM NPV  Trailing Twelve 12 month Net Profit  Variane,TTM EPS  Trailing Twelve 12 month EPS,TTM PE  Trailing Twelve 12 month PE,TTM CPS  Trailing Twelve 12 month CPS,Month CPS  Month Cash Per Share,TTM Depreciation  Trailing Twelve 12 month  Depreciation,Equity  Latest Equity,LTP  Latest Price (BSE/NSE),Gross block  Latest Gross Block,Loans  Total loans,Advances  Latest Advances for Banks,Net profit asset  Latest Assets,Year OPM  Full Year Operating Profit Margin,Year GPM  Full Year Gross Profit Margin,Quarter OPM  Latest quater Operation Profit Margin,stock name
Finance,203,32.36,10,1405.53,0,21.87,425.21,131.4,131.4,0,1-Jun-21,5.08,0,444.3,12.96,0.360117,1.2,1.2,0.44,178.02,176,28,160,35,516.37,66.7,50,1-Jun-21,0,0,0,473.34,2360.8,0,194.05,138.25,1.15,0,0,0,32.36,160,2.55,0.53,0,0,96.5,2060.6,96.9,CONSOFINVT
Miscellaneous,-29,10,10,2.03,0,95.4,0.41,1,0.4,0,,0,0.2,12,5.08,0.5,0,6,0,0.41,15,5,6,0,6.1,0.24,999,1-Mar-21,95.4,1.38,1.4,1.15,1.2,0.41,-29,0.4,0,0,0,0.61,10,6,6.22,1.58,0,0,1.4,1.2,0,CONTI
Packaging,2,16.33,10,200.91,85,203.69,30.59,26.2,18.7,0,1-Jun-21,54.39,0,133,14.46,2.609023,18.5,13.2,4.27,32.15,417,200,346,347,566.63,6.48,27,1-Jun-21,181.61,36.46,20.08,56.11,25.14,24.63,23.7,19.56,17.74,0,0,10.87,16.33,347,167.11,0,0,0,22.5,23.2,21.7,CONTROLPR
Finance,62,8.06,2,119.04,25,20.08,12.97,3.3,3.2,0,1-Jun-21,6,0,31.5,10.63,1.238095,12,11.9,7.02,16.62,59,18,38,39,155.16,4,24,1-Jun-21,21.72,16.74,77.07,16.73,77.03,13.74,76,3.41,11.44,0,0,0.1,8.06,39,21.23,0,0,0,78.8,78.7,80.5,CORALFINAC
Cables,-60,12.93,10,132.79,0,323.37,4.36,8.9,3.4,6.6,1-Jun-21,88.38,0,112.7,7.73,0.488021,16.2,6.2,2.55,26.11,83,35,55,55,71.36,1.45,999,1-Jun-21,362.76,39,10.75,15.15,4.18,5.68,-39,4.39,12.52,0,0,7.25,12.93,55,163.28,0,0,0,10.7,4.1,10.7,CORDSCABLE
Fertilizers,25,29.34,1,5121.25,1200,14213.48,1332.75,51.3,45.4,0,1-Jun-21,3663.87,0,175.5,28.08,4.552707,17.6,15.6,213.99,3124.74,956,682,799,799,23446.86,337.78,35,1-Jun-21,13972.47,2078.27,14.87,2067.22,14.1,1338.21,13.02,48.27,16.55,0,0,169.91,29.34,799,3525.47,383.74,0,0,14.2,13.8,13.2,COROMANDEL
Packaging,106,18.17,10,835.69,250,2285.18,233.02,160.8,128.2,0,1-Jun-21,687.6,0,469.9,29.71,2.864439,10.5,8.4,70.55,546.67,1475,371,1344,1346,2445.77,86.72,85,1-Jun-21,2145.05,322.74,15.05,438.26,17.59,156.66,108.55,152.23,8.84,0,0,66.55,18.17,1346,1682.88,0,0,0,17.1,17,19.1,COSMOFILMS
Realty,-24,7.76,1,11.8,0,12.44,0.47,0.1,0.1,0,1-Jun-21,3.25,0,2.5,3.31,1.2,0,0,2.77,8.5,5,1,3,3,23.67,1.73,999,1-Jun-21,14.21,-0.96,-6.76,2.9,20.41,2.16,315,0.28,0,0,0,0.29,7.76,3,7.3,0.73,0,0,7.2,7.8,-52.6,COUNCODOS
Miscellaneous,-304,88.28,5,-7392.49,0,767.36,-957.18,-53.9,-54.2,0,1-Sep-20,0.01,0,-413.7,15.15,-0.004834,0,0,4.58,3.97,3,1,2,2,30.19,-186.07,39,1-Sep-20,55.92,-2865.05,-5123.48,-3595.75,-6430.17,-790.29,23.81,0,0,0,0,4.62,88.28,2,5255.76,1536.98,0,0,-1256.3,-1348.8,-63300,COX&KINGS
Trading,19,11.6,10,41.12,0,509.3,10.75,10.2,9.3,3.6,1-Jun-21,131.76,0,45.4,23.98,5.154185,25.2,23.1,0,41.85,279,84,234,0,271.44,3.15,506,1-Jun-21,577.76,16.03,2.77,19.07,3.3,13.38,77,11.53,20.29,0,0,1.13,11.6,234,11.99,1.6,0,0,2.7,3,3,CREATIVE
Finance,-60,155.72,10,3535.97,0,2460.74,134.02,11.4,8.6,0,1-Jun-21,616.13,0,237.1,4.09,2.867988,79,59.5,46.56,314.68,839,541,680,680,10581.71,22.49,-69,1-Jun-21,2125.98,1214.15,57.11,153.16,6.24,288.04,-67.3,6.5,104.55,0,0,32.85,155.72,680,658.44,176.99,0,0,46.8,9.1,46.7,CREDITACC
Finance,-93,28.45,10,549.53,5,54.53,2.98,2.1,1,0,1-Jun-21,13.22,0,203.2,8.21,0.595472,115.5,56.5,0.9,4.32,145,71,122,121,344.67,0.57,-79,1-Jun-21,62.2,20.14,32.38,-8.62,-16.02,20.77,-97.96,0.28,432.68,0,0,3.06,28.45,121,52.21,96.34,0,0,8.2,-10.6,25,CREST
Credit Rating Agencies,4,7.28,1,1427.24,3300,1981.83,349.47,64.6,48,0,1-Jun-21,528.51,0,197.1,28.56,14.271943,58.6,43.5,206.21,1184.6,3323,1680,2813,2813,20476.12,100.8,52,1-Jun-21,1848.88,466.74,25.24,609.17,28.93,340.02,8.36,52.83,53.25,0,0,99.17,7.28,2813,1172.02,0,0,0,25.8,29.2,26.4,CRISIL
Capital Goods - Electrical Equipment,24,125.58,2,1805.89,275,4803.51,616.65,10.3,9.8,0,1-Jun-21,1050.48,0,30.8,36.28,15.357143,48.2,46,112.15,4459.59,498,249,473,473,29668.64,94.76,27,1-Jun-21,4030.92,570.34,14.15,778.89,15.17,479.55,41.86,10.14,46.6,0,0,30.27,125.58,473,1005.56,0,0,0,15,15.7,11.9,CROMPTON
Miscellaneous,63,2.08,10,16.96,0,12.18,-1.31,15.4,0,0,,0,-10.7,91.5,-19.26,0.928962,0,5.5,0,0.85,100,38,85,0,17.7,-2.22,9,1-Mar-21,12.18,5.11,42,2.64,21.7,-1.31,63,0,0,0,0,4.52,2.08,85,91.87,15.04,0,0,42,21.7,0,CROWN
IT - Software,84,19.63,10,52.44,0,109.47,8.81,8.2,4.5,0,1-Jun-21,24.84,0,36.7,7.09,1.416894,11.6,6.3,6.82,47.67,98,22,52,52,101.09,2.25,-7,1-Jun-21,106.46,15.78,14.82,16.39,14.57,10.29,74.1,4.41,11.68,0,0,8.12,19.63,52,40.1,7.82,0,0,9.9,15.3,15.5,CTE
Banks,24,73.88,1,5768.59,30,4839.45,592.64,9.1,7.9,0,1-Jun-21,1193.08,0,79.1,10.64,1.946903,19.5,16.9,177.12,3264.71,200,129,154,154,11392.64,172.99,12,1-Jun-21,4822.34,2848.99,59.08,606.53,12.58,611.6,38,8.28,18.6,0,0,87.47,73.88,154,797.45,44537.36,36157.83,1075.19,59.9,12.2,63.9,CUB
Non Ferrous Metals,210,14.32,10,45.37,0,70.3,1.33,1.9,0.9,0,1-Jun-21,24.41,0,41.7,0.74,0.551559,0,12.3,0.52,3.08,35,10,23,23,33.08,0.38,375,1-Jun-21,85.53,4.17,4.88,3.54,4.14,1.63,366,1.14,20.21,0,0,1.38,14.32,23,42.88,0.14,0,0,5.6,4.7,3.6,CUBEXTUB
Capital Goods-Non Electrical Equipment,-10,55.44,2,4595.93,750,4360.08,651.01,28.1,23.5,0,1-Jun-21,1177.71,0,167.8,14.03,6.060787,43.3,36.2,569.51,9556.06,1049,425,1026,1017,28202.33,142.64,170,1-Jun-21,4113.46,434.58,10.56,1195.34,24.02,611.01,16.8,26.15,38.91,0,0,125.07,55.44,1017,3206.63,39.71,0,0,13.3,21.8,12.6,CUMMINSIND
Miscellaneous,0,13.34,10,0.8,45,143.73,28.98,23.7,21.7,0,1-Jun-21,32.35,0,10.6,0,23.018868,11.2,10.3,25.7,453.34,272,190,243,244,325.65,5.91,0,1-Mar-21,0,0,0,40.8,28.39,0,0,21.73,11.24,0,0,0,13.34,244,0,0,0,0,28.7,28.4,26.4,CUPID
Online Media,101,15.67,10,-29.38,0,38.53,0.08,0.2,0.1,0,1-Jun-21,13.1,0,-8.8,0,-1.136364,195.4,48.7,0.27,0.5,20,3,10,10,15.49,0.03,-58,1-Jun-21,31.24,-3.7,-11.85,0.77,1.69,-7.82,100.46,0.02,494.5,0,0,0.24,15.67,10,41.02,3.31,0,0,6.1,1.7,3.8,CYBERMEDIA
IT - Software,80,27.8,10,87.2,10,117.8,23.34,10.8,8.4,0,1-Jun-21,33.43,0,41.4,23.06,4.275362,21.1,16.4,62.97,707.7,208,48,177,177,491.15,3.94,-24,1-Jun-21,116.12,19.53,16.82,28.36,23.47,14.52,47.8,8.23,21.47,0,0,5.98,27.8,177,80.18,5.2,0,0,19.3,24.9,17.9,CYBERTECH
IT - Software,6,55.1,5,2901.6,340,4132.4,363.8,50.7,33,0,1-Jun-21,1058.2,0,268.3,13.19,3.689899,30,19.5,473.73,2398.87,1091,365,990,990,10908.88,115,41,1-Jun-21,4174.5,499.5,11.97,717.1,17.08,318.8,19.2,36.06,27.45,0,0,191.6,55.1,990,2438.8,259,0,0,13.9,16.3,17.6,CYIENT
FMCG,46,31.98,1,1723.5,100,4644.35,274.05,12,8.6,0,1-Jun-21,1194.93,0,54.9,14.18,1.220401,7.8,5.6,61.04,708.65,90,47,67,67,2147.76,72.62,-8,1-Jun-21,4618.3,549.83,11.91,503.9,10.87,250.93,19.75,8.37,8.02,0,0,103.15,31.98,67,1449.89,301.47,0,0,11.9,10.9,10,DAAWAT
FMCG,12,176.79,1,7486.79,475,9546.6,1692.89,10.9,9.6,0,1-Jun-21,2611.54,0,43.3,23.76,14.803695,66.9,58.6,393.3,10718.25,645,479,641,641,113266.56,437.33,28,1-Jun-21,8714.35,1790.33,20.54,2444.89,23.99,1525.66,20.79,10.12,63.31,0,0,229.6,176.79,641,3778.97,447.89,0,0,21,24.1,21.1,DABUR
Sugar,39,16.19,2,2126.5,150,2685.77,268.64,45,33.2,0,1-Jun-21,818.57,0,264.7,14.77,1.616925,12.9,9.5,86.39,472.53,516,121,428,428,3464.26,124.34,-1,1-Jun-21,2657.63,441.42,16.61,409.54,15.56,270.04,1.6,33.21,12.89,0,0,59.61,16.19,428,2287.79,99.18,0,0,17.6,17.3,17.2,DALMIASUG
Textiles,-62,11.65,5,85.2,0,567.64,-11.29,5.5,0,0,1-Jun-21,202.66,0,41.6,-11.58,1.009615,0,7.6,0.81,0.68,57,20,42,42,97.86,2.5,0,1-Jun-21,715.47,55.15,7.71,27.3,3.82,0.2,0,0.09,0,0,0,24.34,11.65,42,379.65,73.47,0,0,6.8,1.8,8.2,DAMODARIND
FMCG,-624,10.27,10,8.67,0,13.44,-10.04,0,0,6.2,1-Jun-21,3.6,0,18.4,0,10.543478,0,0,0,9.69,200,81,194,0,199.6,-1.18,0,,0,0,0,0,0,0,0,0,0,0,0,0,10.27,194,44.04,0.04,0,0,-25.9,-32.8,11.4,DANGEE
IT - Software,30,29.47,5,686.46,0,1149.05,80.7,20.4,13.7,0,1-Jun-21,287.75,0,121.4,9.27,2.578254,22.9,15.4,94.27,411.93,347,65,313,313,1847.47,31.21,131,1-Jun-21,1179.14,100.2,8.5,174.79,15.07,53.61,57.81,16.68,18.79,0,0,37.7,29.47,313,457.15,21.86,0,0,9.2,13,14.4,DATAMATICS
Media - Print/Television/Radio,-52,174.97,10,1647.9,30,1507.7,132.48,14.1,7.6,0,1-Jun-21,304.26,0,104.2,15.69,0.873321,12,6.4,11.19,238.16,125,73,91,91,1593.07,-22.25,54,1-Jun-21,1642.18,245.64,14.96,342.61,21.39,86.15,18.51,9.02,10.09,0,0,117.76,174.97,91,2056.63,232.57,0,0,20.2,20.4,0.5,DBCORP
Infrastructure Developers & Operators,-22,146.21,10,3763.64,10,10168.28,245.01,47.1,16.8,0,1-Jun-21,2438.27,0,267.4,12.03,1.948392,31.1,11.1,192.82,2108.21,719,321,521,521,7611.22,-19.28,-243,1-Jun-21,9580.66,2034.09,21.23,997.09,9.49,198.28,-1.31,14.71,35.39,0,0,469.01,146.21,521,4862.4,401.17,0,0,20.9,10.1,18.7,DBL
Realty,14,243.26,10,1092.54,0,24.56,-339.15,-13.9,-13.9,0,1-Jun-21,6.95,0,54.9,0,0.437158,-1.7,-1.7,5.03,45.24,32,6,24,24,594.77,-92.38,21,1-Jun-21,33.84,-265.86,-785.65,-93.44,-308.95,-442.08,32.64,0,0,0,0,1.02,243.26,24,233.01,907.91,0,0,-361,-569.2,-256,DBREALTY
Stock/ Commodity Brokers,-88,7,2,34.95,0,18.07,0.31,0.2,0.1,0,1-Jun-21,7.46,0,12,6.59,1.75,233.6,132.5,0.39,0.12,30,7,20,21,74.03,1.91,188,1-Jun-21,12.38,5.55,44.8,6.97,30.37,3.4,-46.33,0.45,47,0,0,0.34,7,21,1.31,0.19,0,0,30.3,28.3,39.4,DBSTOCKBRO
Pharmaceuticals,-204,31.36,2,5667.46,0,1912.03,-170.33,8.8,-10.9,0,1-Jun-21,550.73,0,363.5,-2.98,0.530949,-17.8,22,105.19,1256.64,235,103,193,193,3023.56,16.02,175,1-Jun-21,1937.74,380.36,19.63,301.21,15.14,90.79,-320.53,0,0,0,0,297.7,31.36,193,8176.11,424.08,0,0,13.2,12.7,18.3,DCAL
Banks,-1,310.61,10,3216.69,0,3916.84,335.87,12.6,10.8,2.9,1-Jun-21,965.67,0,113.6,10.01,0.827465,8.7,7.4,88.28,668.65,127,74,94,94,2918.13,33.76,-57,1-Jun-21,3931.81,2416.12,61.45,274.12,6.97,290.25,-14,9.34,10.06,0,0,56.6,310.61,94,960.92,29703.86,25959.24,594.15,64,8.6,60.3,DCBBANK
"Castings, Forgings & Fastners",67,18.68,10,-37.74,0,47.4,-17.84,-4.6,-9.6,0,1-Jun-21,15.89,0,-10.2,0,-4.803922,-5.1,-10.6,0.1,4.92,64,17,48,49,91.05,10.87,273,1-Jun-21,46.74,-14.06,-30.08,9.05,17.37,-30.36,97.07,0,0,0,0,9.56,18.68,49,125.59,0,0,0,-8.1,-17.2,8,DCM
Textiles,607,18.68,10,165.48,0,562.78,30.51,24.9,16.3,24.3,1-Jun-21,188.2,0,98.6,18.06,2.089249,12.7,8.3,21.15,124.9,244,22,207,206,385.51,29.28,0,1-Jun-21,677.79,106.11,15.66,104.76,15.46,66.4,0,35.55,5.8,0,0,15.6,18.68,206,182.35,0,0,0,10.5,10.1,23.2,DCMNVL
Diversified,-7,31.19,2,4622.69,465,8609.66,665.92,57.7,42.7,0,1-Jun-21,1942.92,0,298.4,15.46,3.009383,21,15.6,155.72,1301.84,1199,315,899,898,14008.3,157.87,128,1-Jun-21,7999.76,1004.12,12.55,1246.03,15,576.81,32.13,48.87,18.38,0,0,234.7,31.19,898,4160.39,111.74,0,0,13.4,13,14.6,DCMSHRIRAM
Petrochemicals,0,52.21,2,634.99,0,1464.26,3.79,3.5,0.1,0,1-Jun-21,520.51,0,26.3,-4.09,1.330798,0,10.1,35.72,242.24,45,13,35,35,917.52,4.39,0,1-Jun-21,1700.18,234.18,13.77,124.11,7.3,18.02,0,0.69,0,0,0,87.66,52.21,35,1859.64,43.96,0,0,14.3,6.9,11,DCW
Cement,80,7,5,557.97,100,757.95,115.08,98.8,82.2,0,1-Jun-21,224.24,0,403.6,22.69,1.811199,8.9,7.4,55.69,349.73,846,258,732,731,1024.37,36.83,41,1-Jun-21,843.58,191.45,22.69,193.68,22.96,125.8,89,89.86,8.14,0,0,24,7,731,554.17,21.98,0,0,23.2,23.5,24.7,DECCANCE
Chemicals,1146,108.15,10,2673.33,75,5808.49,396.15,56.2,36.6,0,1-Jun-21,1902.1,0,257.2,16.65,1.636858,11.5,7.5,91.31,341.21,493,133,421,421,4548.95,128.02,7,1-Jun-21,5198.71,693.37,13.34,832.59,13.16,251.89,106.68,37.74,11.14,0,0,214.49,108.15,421,3559.42,482.72,0,0,16.4,13.8,15.3,DEEPAKFERT
Chemicals,26,27.28,2,2319.37,275,4359.75,776.18,68.1,56.9,0,1-Jun-21,1526.22,0,172.1,39.6,13.63742,41.2,34.5,3413.21,28318.83,2405,663,2349,2347,32010.08,302.63,206,1-Jun-21,3837.23,977.91,25.48,1479.51,28.39,598.15,69.35,71.81,32.68,0,0,133.62,27.28,2347,2016.35,12.2,0,0,28.7,27.4,29.6,DEEPAKNTR
Entertainment,-111,26.68,1,1915.17,100,418.87,-21.14,1.2,-0.8,0,1-Jun-21,75.87,0,72.8,-1.16,2.82967,-260,174.4,1988.72,18853.07,218,100,207,206,5501.85,-28.93,-2,1-Jun-21,472.77,36.15,7.65,33.96,7.61,13.63,-113.04,0,0,0,0,52.87,26.68,206,1554.11,0,0,0,3.1,8.3,-36.7,DELTACORP
Consumer Durables,46,10.85,10,25.94,0,103.96,-6.71,-0.9,-6.2,0,1-Jun-21,30.19,0,33.9,0,1.622419,-8.9,-64.2,0.37,3.33,60,17,56,55,59.68,-1.36,74,1-Jun-21,100.77,-4.52,-4.49,26.46,21.67,-16.18,82.13,0,0,0,0,6.37,10.85,55,149.54,45.5,0,0,2.5,-3.5,3,DELTAMAGNT
Entertainment,19,477.22,10,2297.82,0,1307.4,64.6,6.6,1.4,0,1-Jun-21,302.97,0,58.1,1.42,0.843373,36.2,7.4,137.72,718.43,94,42,49,49,2331.24,41.15,-30,1-Jun-21,1284.86,238,18.52,395.53,30.21,139.43,53.74,3.78,12.92,0,0,239.09,477.22,49,1966.97,0,0,0,19,33.4,15.7,DEN
Capital Goods-Non Electrical Equipment,-30,5.31,10,61.67,10,50.54,5.68,15.6,10.7,0,1-Jun-21,5.11,0,126.1,8.8,2.60111,30.7,21,3.89,44.56,437,190,328,328,174.27,-0.81,0,1-Jun-21,41.44,5.42,13.08,7.01,16.92,3.06,-67,5.76,56.92,0,0,2.62,5.31,328,18.24,0,0,0,16.7,20.2,-13.1,DENORA
IT - Software,-50,5.52,10,27.77,5,84.33,0.97,5.5,1.8,0,,0,0.3,60.3,2.99,1.741294,58.3,19,0,3.12,140,85,105,0,57.94,0.17,0,1-Mar-21,84.33,3.99,4.7,3.51,4.2,0.97,-50,1.8,58.3,0,0,2.08,5.52,105,21.53,9.49,0,0,4.7,4.2,0,DEVIT
FMCG,19,10.05,2,168.02,50,524.06,28.7,8.3,5.7,0,1-Jun-21,110.45,0,35.4,17.74,9.519774,59.2,40.5,10.84,258.79,453,258,336,337,1695.39,-1.73,0,1-Jun-21,519.58,42.06,8.1,39.71,7.64,18.97,-23,3.78,89.27,0,0,13.92,10.05,337,271.41,0,0,0,10.6,9.9,1.1,DFMFOODS
Entertainment,-32,11.64,2,-25.2,0,248.89,-43.6,1.5,-7.5,0,1-Jun-21,67.64,0,-2.3,0,-5.217391,-1.6,8.2,0.02,2.36,22,7,12,12,66.92,-0.14,99,1-Jun-21,239.5,11.5,4.8,44.78,15.98,-40.87,64.26,0,0,0,0,52.77,11.64,12,42.82,90.24,0,0,10.6,7.7,9.5,DGCONTENT
Sugar,8,66.39,10,1493.61,60,4156.6,231.88,46.6,34.9,0,1-Jun-21,810.8,0,235,15.67,1.331915,9,6.7,53.52,837.35,395,128,313,313,2079.92,43.59,-20,1-Jun-21,3877.93,392.19,10.11,380.39,9.78,238.09,2.41,32.83,9.54,0,0,75.96,66.39,313,2685.09,190.45,0,0,11,9.5,12.6,DHAMPURSUG
Banks,-43,253.01,10,472.43,0,1072.23,37.19,1.5,1.5,0,1-Jun-21,239.02,0,28.7,0,0.557491,10.5,10.7,14.93,101.16,20,12,16,16,399.76,6.79,11,1-Jun-21,1032.63,625.44,60.57,43.33,4.2,37.89,-27,1.5,10.68,0,0,0,253.01,16,393.71,10904.07,6496.1,100.94,60,4,60.8,DHANBANK
Agro Chemicals,48,9.32,2,786.87,100,1387.47,207.91,47.9,44.6,0,1-Jun-21,363.79,0,170.9,28,4.803979,18.4,17.1,39.62,465.8,1053,669,821,821,3826.18,48.6,-6,1-Jun-21,1315.3,234.38,17.82,295.71,21.47,188.55,16.2,44.52,18.45,0,0,14.31,9.32,821,230.5,0,0,0,19.4,21.6,16.8,DHANUKA
Sugar,41,33.2,10,-159.9,0,31.09,-38.04,0,0,0,1-Jun-21,29.45,0,-38.2,0,-0.602094,0,0,1.71,19.04,37,4,23,23,75.7,-8.08,-10,1-Jun-21,36.43,-17.82,-48.92,-15.2,-41.72,-38.8,21,0,0,0,0,23.59,33.2,23,879.94,0.63,0,0,-59.1,-47.4,-4.4,DHARSUGAR
Finance,4022,6.1,10,1663.55,25,210.73,137.43,267.3,225.4,0,1-Jun-21,55.83,0,2738.4,16.4,0.231887,2.8,2.4,12.24,39.07,705,200,633,635,387.32,66.6,611,1-Jun-21,120.73,-68.17,-56.47,450.87,200.12,-9.62,4637.74,319.04,1.99,0,0,31.04,6.1,635,120.51,23.54,0,0,65.7,157.1,69,DHUNINV
FMCG,-70,11.73,5,611.39,10,1171.09,14.19,29.3,6.1,0,1-Jun-21,278.2,0,265.7,2.3,2.525405,110.9,22.9,15.31,124.93,827,485,668,671,1573,-1.59,73,1-Jun-21,1191.15,66.91,5.62,68.16,5.47,27.76,-40.85,7.9,84.9,0,0,59.29,11.73,671,747.74,47.1,0,0,5.4,5.6,4,DIAMONDYD
Cables,-237,269.71,10,386.91,0,1131.73,-908.7,0,0,0,,0,0,24.3,0,0.041152,0,0,0.58,10.16,2,1,1,1,21.85,-29.7,90,1-Dec-17,696.31,-337.22,-48.43,-358.87,-51.54,-442.7,43,0,0,0,0,96.95,269.71,1,1575.09,0,0,0,-57.2,-73.2,0,DIAPOWER
Chemicals,-43,9.18,10,370.22,60,608.25,10.49,27.5,11.4,0,1-Jun-21,164.09,0,413.3,3.1,1.093637,39.6,16.5,0.33,21.5,549,355,446,452,414.8,1.77,0,1-Jun-21,655.31,24.65,3.76,33.29,5.08,14.24,38,15.51,29.14,0,0,13.5,9.18,452,139.78,5.75,0,0,3.7,4.6,2.9,DICIND
Telecom-Handsets/Mobile,254,68.72,3,177.08,0,712.1,11.46,1.5,0.5,0,1-Jun-21,228.66,0,10.7,-5.46,4.953271,105.9,35.6,3.91,26.92,114,6,53,53,1224.44,-2.42,-225,1-Jun-21,539.75,-49.24,-9.12,28.05,3.63,9.74,287.26,0.32,167.03,0,0,22.15,68.72,53,220.1,2.04,0,0,1.7,4.9,0.3,DIGISPICE
Entertainment,-398,184.13,1,2494.58,0,3249.36,-862.16,3.6,-4.7,0,1-Jun-21,730.97,0,14.5,0,0.896552,-2.8,3.6,42.23,782.2,18,9,13,13,2432.34,50.24,-34,1-Jun-21,3418.8,210,6.14,753.6,23.96,542.33,-299.92,0,0,0,0,1375.23,184.13,13,16783.79,0,0,0,38.1,25.7,60,DISHTV
Pharmaceuticals,49,53.09,2,9241.52,1000,6969.4,1986.75,84.5,74.8,0,1-Jun-21,1960.64,0,350.1,23.9,14.881462,69.6,61.7,1834.15,28502.23,5269,2987,5208,5210,138297.18,557.11,13,1-Jun-21,6265.74,2379.57,37.98,3092.19,42.95,1758.97,28.39,77.2,67.48,0,0,213.81,53.09,5210,4691.86,4.48,0,0,41.1,41.9,43.5,DIVISLAB
Consumer Durables,32,11.73,2,725.59,50,6448.17,159.8,34.7,27.2,0,1-Jun-21,1867.29,0,125.7,26.21,33.699284,155.5,122.1,2463.7,13299.37,4732,1553,4240,4236,24843.17,18.16,1035,1-Jun-21,4006.9,213.69,5.33,288.46,3.7,107.84,79.02,30.07,140.86,0,0,40.92,11.73,4236,502.02,25,0,0,4.4,4,2.6,DIXON
Realty,506,495.06,2,34848.87,100,5414.06,1162.78,5.3,4.7,0,1-Jun-21,1139.53,0,142.8,1.57,2.408964,73.2,64.4,1184.35,34996.08,359,143,344,344,85051.71,337.1,577,1-Jun-21,5194.52,582.96,11.22,1459.59,24.31,-2950.15,153.73,6.27,54.8,0,0,186.54,495.06,344,5822.12,29.05,0,0,24.4,18.5,34.7,DLF
IT - Hardware,-1,7.1,2,259.2,90,726.55,31.12,10.3,8.8,0,1-Jun-21,162.69,0,75,12.42,1.76,15.1,12.8,23.58,246.42,169,92,132,132,469.2,8.52,352,1-Jun-21,670.59,33.38,4.98,56.67,7.42,25.67,47.1,10.7,12.35,0,0,5.61,7.1,132,52.54,7.14,0,0,5.8,6.6,7.1,DLINKINDIA
Retail,-15,647.77,10,11535.94,0,24143.06,1098.92,23.4,17,0,1-Jun-21,5183.12,0,188.1,9.45,20.946305,232.2,168.7,667.95,10363.6,4013,1949,3939,3940,255219.99,95.37,138,1-Jun-21,22254.24,1455.34,6.54,1988.86,7.82,893.97,13.43,17.83,220.97,0,0,395.31,647.77,3940,8396.12,392.71,0,0,7.2,7.9,4.3,DMART
Media - Print/Television/Radio,30,11.77,1,-590.68,0,3.15,-45.62,0,0,0,1-Jun-21,1.95,0,-49.2,0,-0.04065,0,0,2.11,0.74,5,0,2,2,28.72,-3.2,78,1-Jun-21,4.83,-34.31,-99.9,-34.21,-99.9,-34.21,49,0,0,0,0,0,11.77,2,273.9,0,0,0,-99.9,-99.9,-164.1,DNAMEDIA
Finance,107,17.6,1,346.11,15,265.01,146.71,8.4,8.3,0,1-Jun-21,70.62,0,20.7,38.53,4.879227,12.1,12.1,102.7,428,128,43,101,101,1772.32,45.49,111,1-Jun-21,181.23,132.3,73,232.07,79.26,83.19,114.61,9.7,10.38,0,0,0.14,17.6,101,0.75,9.75,0,0,78,76.1,85.1,DOLAT
Textiles,49,11.34,2,525.41,120,1036.96,85.33,17.8,15,0,1-Jun-21,204.58,0,94.6,17.11,3.773784,23.7,20.1,46.74,697.72,390,127,357,357,2025.05,22.54,39,1-Jun-21,910.92,118.1,12.96,142.28,13.15,69.21,51.54,16.16,22.09,0,0,14.15,11.34,357,152.57,3.26,0,0,13.2,12.6,17.3,DOLLAR
Textiles,0,10.4,2,104.58,10,357.61,-6.27,0.6,0,0,1-Jun-21,73.32,0,22.1,10.22,2.760181,0,0,12.87,119.03,68,19,61,61,314.6,-3.64,40,1-Jun-21,410.32,16.92,4.12,3.7,0.9,-3.88,0,0,0,0,0,9.24,10.4,61,126.38,46.12,0,0,4.2,0.2,2.3,DONEAR
"Diamond, Gems and Jewellery",67,22.25,10,74.92,0,1218.17,27.46,14.1,12.3,3.7,1-Jun-21,175.34,0,43.7,26.92,4.599542,16.4,14.3,0,8.55,239,70,201,0,448.1,4.27,31,1-Jun-21,1351.95,54.91,4.06,42.67,3.16,28.48,83,12.8,15.7,0,0,4.61,22.25,201,31.53,57.55,0,0,4.2,3.3,5.9,DPABHUSHAN
