Industry  Industry name,Variance  Full Year Net Profit Variance,Equity  Latest Equity,Face Value  Latest Face Value,Reserves  Total Reserve,Dividend  Full Year Dividend %,Sales Turnover  Full Year Net Sales,Net Profit  Full Year Net Profit,Full Year CPS  Full Year Cash Per Share,Earning Per Share  Full Year Earning Per Share,Latest Quarter Date  Latest Quarter Yrc,Latest Quarter Sales  Latest Quarter Net Sales,Book Value  Book value,Networth  Full Year Return on Networth,Price/Book Value  Price to Book value,Yearly PE ratio  Full Year Price to Earning per share,Yearly PC ratio  Full Year Price to Cash Per Share,Bse value  BSE Value in lakhs,Nse value  NSE Value in lakhs,High  52 week high,Low  52 week low,Price  NSE Current market price,CPM  Current market price,Market cap  BSE / NSE Market Cap,Net profit  Latest Quarter Net Profit,Net profit variance  Latest Quarter Net Profit variance,Result year  Trailing latest month,TTM Sales  Trailing Twelve 12 month Net Sales,TTM OP  Trailing Twelve 12 month Operating  Profit,TTM OPM  Trailing Twelve 12 month Operating  Profit  Margin,TTM GP  Trailing Twelve 12 month Gross  Profit,TTM GPM  Trailing Twelve 12 month Gross  Profit Margin,TTM NP  Trailing Twelve 12 month Net Profit,TTM NPV  Trailing Twelve 12 month Net Profit  Variane,TTM EPS  Trailing Twelve 12 month EPS,TTM PE  Trailing Twelve 12 month PE,TTM Depreciation  Trailing Twelve 12 month  Depreciation,Equity  Latest Equity.1,LTP  Latest Price (BSE/NSE),Gross block  Latest Gross Block,Loans  Total loans,Year OPM  Full Year Operating Profit Margin,Year GPM  Full Year Gross Profit Margin,Quarter OPM  Latest quater Operation Profit Margin,stock name
Construction,0.2936507936507936,0.09494930351558797,0.42857142857142855,0.1518229618762429,0.002352941176470588,0.006505360413094274,0.001145782796742261,0.015108593012275733,0.008991650610147721,1-Jun-21,0.005098729227761486,0.08461250467989516,0.14033935413245757,0.3157415998314136,0.0,1.0,0.0,0.03393523261486162,0.11814524666525514,0.15400843881856538,0.08570004982561036,0.0,0.009385246242524558,0.0016602003067761437,0.46332046332046334,1-Jun-21,0.007178570092487846,0.003224618247849716,0.17064369689209638,0.0015293185814698393,0.09549015456277789,0.00193717277486911,1.0,0.008888439977778901,0.0,0.005228452144055563,0.09494930351558797,0.08548707753479123,0.006859420206549021,0.031228833196677484,0.11685393258426965,0.07142857142857142,0.24727992087042536,AKASH
Pharmaceuticals,0.051587301587301584,0.024511197447803154,0.42857142857142855,0.17840013888381817,0.1411764705882353,0.024030778049266253,0.022069221796711298,0.49008498583569404,0.48169556840077077,1-Jun-21,0.031710654936461385,0.8000748783227255,0.32950191570881227,0.10912641314444171,0.2166553825321598,0.19795221843003413,0.07858883996901041,0.08397860685000526,0.28414143552826593,0.39135021097046413,0.299451918285999,0.3128085216939465,0.01112162825322099,0.03764323739059821,0.0,1-Jun-21,0.028960872472365087,0.02197134677893594,0.2879757886159935,0.024753042447308245,0.3828075375820452,0.04306282722513089,0.698282668772207,0.581990808545023,0.17577796467619847,0.03199500565765344,0.024511197447803154,0.29870775347912526,0.04516955882133785,0.026451819899468827,0.14382022471910114,0.29017857142857145,0.2512363996043521,ALBERTDAVD
Pharmaceuticals,0.15079365079365079,0.13948640197100354,0.047619047619047616,1.0,0.9999999999999999,0.8612520098513075,1.0,1.0,1.0,1-Jun-21,1.0,1.0,0.6452107279693485,0.528099566384998,0.39945836154366965,0.4283276450511946,0.3021106932975567,0.7693620102576262,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,0.01698841698841699,1-Jun-21,0.905975169018337,1.0,0.5116982889069958,1.0,0.4814736396358246,1.0,0.04841097512830637,1.0,0.47266610597140457,1.0,0.13948640197100354,0.9999999999999999,0.8023669470470641,1.0,0.46067415730337075,0.5111607142857142,0.4292779426310584,ALKEM
Finance,1.0,0.08654726933889256,0.23809523809523808,0.16492304391008614,0.0,0.005953531752007424,0.019055090475551473,0.07648725212464588,0.09120102761721259,1-Jun-21,0.006021505376344086,0.11737177087233244,0.18938149972632728,0.08842734077063445,0.14082599864590387,0.1552901023890785,0.002456491751856541,0.0022444064057697746,0.03302985390641541,0.010548523206751054,0.036372695565520675,0.03845154585606651,0.006063529822751961,0.0199584949923306,0.1250965250965251,1-Jun-21,0.005890811335438499,0.0006914512074547487,0.044465137935048304,0.012662957114320299,0.8291340249841201,0.01031413612565445,0.7039330833004345,0.08181404979546487,0.15374264087468462,0.015100081938429126,0.08654726933889256,0.03628230616302187,0.01078942942482633,0.050479483797369086,0.2247191011235955,0.8035714285714286,0.4668644906033631,ALMONDZ
Pharmaceuticals,0.6904761904761905,0.121355696642345,0.42857142857142855,0.15573912790797306,0.0,0.009467553349104494,0.007473394097670242,0.03777148253068933,0.043673731535003216,1-Jun-21,0.01232453567937439,0.09472107824784724,0.1801860974274767,0.07505729794250318,0.2044685172647258,0.22013651877133109,0.002588764384648816,0.0019304137894022688,0.030065636248147364,0.02742616033755274,0.02491280518186348,0.02702000519615485,0.00329609821421145,0.023242804294866012,0.155984555984556,1-Jun-21,0.008608593524006636,0.002985518297608354,0.13153299965079734,0.007616703944844899,0.28710565318653397,0.007578534031413613,0.4253602447690486,0.05040149487399627,0.17359125315391086,0.008584025908150925,0.121355696642345,0.025347912524850892,0.008541276805920133,0.02457428731001866,0.1460674157303371,0.2522321428571429,0.16023738872403562,ALPA
Textiles,0.11904761904761904,0.024637543826400078,0.42857142857142855,0.2262062737635503,0.8235294117647058,0.06152403806451927,0.07013016505465695,1.0,1.0,1-Jun-21,0.07332551319648094,1.0,0.35533661740558287,0.12128269303205776,0.17467840216655384,0.15358361774744028,0.11265849095822073,0.07696663908551253,0.7317383019267415,0.6360759493670886,0.759840558046836,0.7924136139256951,0.02874662097532169,0.129279076062438,0.9498069498069498,1-Jun-21,0.07605785640857572,0.10775653162904611,0.5377720870678617,0.08086458805537428,0.4761803938174888,0.1292931937172775,0.3133636004737466,1.0,0.1488645920941968,0.1142455811775723,0.024637543826400078,0.7574552683896619,0.13009693029236627,0.06022364027426237,0.41348314606741576,0.3973214285714286,0.5934718100890208,AMBIKCO
Cement,0.07142857142857142,1.0,0.047619047619047616,1.0,0.9999999999999999,1.0000000000000002,1.0,0.17280453257790368,0.16056518946692358,1-Jun-21,1.0,0.2287532759266192,0.41247947454844,0.29668490288763505,0.47393364928909953,0.40614334470989766,1.0,0.9999999999999999,0.18462841414355283,0.20886075949367086,0.21723966118584953,0.227071966744609,1.0,1.0,0.14208494208494207,1-Jun-21,1.0,1.0,0.4600162961238506,1.0,0.4806267203048909,1.0,0.16388669561784447,0.1682743295793142,0.4412111017661901,1.0,1.0,0.2166998011928429,1.0,0.1348020866754602,0.41123595505617977,0.44642857142857145,0.5182987141444115,AMBUJACEM
Pharmaceuticals,0.5714285714285714,0.006885877633532329,0.0,0.17452122709516,0.988235294117647,0.03232666702289409,0.06307998802605366,0.20963172804532576,0.26846499678869623,1-Jun-21,0.03058064516129032,0.13702733058779482,0.8365626710454296,0.8285387068104068,0.4617467840216656,0.5477815699658704,0.035392377317133086,0.03625012715899961,0.3396146517044252,0.42299578059071724,0.35475834578973586,0.3704858404780463,0.06903108286824092,0.043453938464314716,0.13590733590733592,1-Jun-21,0.03840513923232928,0.05285401332497561,0.5224071702944942,0.04636774383166536,0.5407579928011856,0.08736910994764398,0.26401500197394395,0.23089742942275646,0.5246425567703953,0.014202661048031529,0.006885877633532329,0.3538767395626242,0.00836670434877022,0.027758962841491097,0.47415730337078654,0.5513392857142857,0.3679525222551929,AMRUTANJAN
Capital Goods - Electrical Equipment,0.07142857142857142,0.2302031018035946,0.42857142857142855,0.3471260959266955,0.22352941176470587,0.6206051656214631,0.16446628198643642,0.624173748819641,0.5343609505459217,1-Jun-21,0.705008797653959,0.688131785847997,0.39474548440065677,0.1373196677006936,0.20717670954637782,0.16382252559726962,0.025660890761701402,0.053785653581237984,0.3048909591361423,0.2932489451476793,0.3168908819133034,0.3309950636528969,0.08082011528192504,0.22474059370206625,0.5714285714285714,1-Jun-21,0.6718717973982425,0.24974312910751098,0.14107787219182866,0.20551650617954298,0.12703789964005927,0.11836387434554975,0.6096032372680616,0.6489571233776072,0.16686291000841044,0.3567833313824184,0.2302031018035946,0.31610337972166996,0.2630934665193445,0.23630767768231678,0.12134831460674159,0.08258928571428571,0.142433234421365,APARINDS
Cement,0.44047619047619047,0.14820430209419125,0.42857142857142855,0.1906716865517398,0.1176470588235294,0.03955095914233391,0.08769883460470494,0.392823418319169,0.4315992292870906,1-Jun-21,0.047757575757575756,0.255147884687383,0.72183908045977,0.2691981878703189,0.17874069058903183,0.1825938566552901,0.03756542771300617,0.04711971849600741,0.22401016303197122,0.16455696202531644,0.2192326856003986,0.23070927513639908,0.03705157743268983,0.08319047189389155,0.032432432432432434,1-Jun-21,0.04733936078901042,0.08325847997053254,0.667675474333605,0.06586531037196813,0.6231208977344908,0.11637434554973822,0.26401500197394395,0.35513357911216603,0.2124474348191758,0.07834874556166842,0.14820430209419125,0.22017892644135187,0.06716994628703543,0.031228833196677484,0.6067415730337078,0.6450892857142857,0.609297725024728,APCL
Plantation & Plantation Products,0.6944444444444444,0.05394990366088632,0.047619047619047616,0.18679873544197315,0.4117647058823529,0.05251504656054328,0.04540809480062348,0.10670443814919736,0.10918432883750803,1-Jun-21,0.07242619745845552,0.10913515537251964,0.4694033935413245,0.4659525855930775,0.5159106296547056,0.48976109215017066,0.10766992309291207,0.027966168897589544,0.16218505187380902,0.13924050632911392,0.1604384653712008,0.16835541699142637,0.05558651550816373,0.07882342326084996,0.0,1-Jun-21,0.07018390607159286,0.06674119692142659,0.36107554417413573,0.052420258738785405,0.33453313571882276,0.09494764397905761,0.0,0.14130599464673502,0.38957106812447434,0.05521089390924344,0.05394990366088632,0.16053677932405563,0.04368356400315933,0.02457428731001866,0.25842696629213485,0.27008928571428575,0.31256181998021765,APCOTEXIND
