symbol,revenuePerShare,trailingPE,earningsQuarterlyGrowth,previousClose,open,dayLow,dayHigh,volume,trailingEps,pegRatio,ebitda,totalDebt,totalRevenue,debtToEquity,revenuePerShare.1,earningsGrowth,revenueGrowth
SYMPHONY.NS,163.481,52.09784,0.051,826.1,826.1,826.1,878.25,309960,16.66,1.37,1176300032,1870000000,11315600384,27.46,163.481,0.073,-0.108
VGUARD.BO,106.721,60.24299,0.482,319.85,324.85,318.5,324.85,4007,5.35,5.05,3686682880,3875300096,46519742464,23.032,106.721,0.478,0.188
ROSSARI.NS,319.595,30.209066,0.339,684.85,688.3,683,691.9,77143,22.72,0.84,2438170112,1316060032,17643089920,13.453,319.595,0.341,0.191
PRAJIND.NS,187.855,34.9737,0.13,527,526,521.6,537.75,1154652,15.21,4.24,3373062400,375748000,34516983808,3.377,187.855,0.13,-0.089
SIS.NS,831.314,17.984495,-0.643,449.6,449.6,437.4,450,53050,24.51,-1.42,5169285120,17212379136,1.21195E+11,69.525,831.314,-0.642,0.058
RITES.NS,103.88,34.137123,-0.142,643.15,645.8,636,660,2084334,19.18,-1.86,6598349824,47900000,24964100096,0.178,103.88,-0.142,0.008
NIITLTD.NS,21.568,79.96212,-0.739,105.8,104.65,104.65,107.65,573723,1.32,2.83,-218400000,100100000,2891760128,0.988,21.568,-0.739,-0.813
EPL.NS,121.301,21.186342,0.371,183.5,184,182.6,186.9,417159,8.64,4.17,6847499776,9187000320,38562000896,45.686,121.301,0.364,0.032
CERA.NS,1432.691,39.215534,-0.098,6811.15,6831.6,6820,6950,43628,174.45,0.24,2865021184,478745984,18633463808,3.888,1432.691,-0.098,-0.041
DBL.NS,875.255,46.302895,-0.033,406,405.2,404.75,417.7,391064,8.98,0.46,12555531264,67688357888,1.14873E+11,163.669,875.255,0.024,0.239
TCI.NS,507.509,19.157051,-0.074,803.1,805,790,833.55,34135,42.47,0.4,4216267520,1586000000,39364939776,8.383,507.509,-0.076,0.029
SUPRAJIT.NS,203.085,37.892292,0.058,404.1,402.35,402.35,409.95,116409,10.77,28.72,3128719872,7216000000,28117420032,56.728,203.085,0.055,0.046
TRIVENI.NS,246.63,16.718338,-0.067,319.9,318.9,315.95,323.05,427454,19.03,0.87,6421654528,4004600064,55005114368,14.88,246.63,0.031,-0.104
TATVA.NS,185.914,69.433174,-0.703,1163.3,1163.15,1152.05,1189,25525,16.76,1.84,645520000,610080000,4197499904,8.388,185.914,-0.718,-0.302
