symbol,revenuePerShare,trailingPE,earningsQuarterlyGrowth,previousClose,open,dayLow,dayHigh,volume,trailingEps,pegRatio,ebitda,totalDebt,totalRevenue,debtToEquity,revenuePerShare.1,earningsGrowth,revenueGrowth
IRONWOOD.BO,368.6800454,inf,1.272780739,23.95,23.95,22.8,24.44,4475,18.4682045,7.752124646,12331239082,72614166656,87657371063,118.1582281,368.6800454,1.072591783,0.490908862
GENUSPRIME.BO,368.6800454,inf,1.272780739,17.03,17.85,16.28,17.85,9082,18.4682045,7.752124646,12331239082,72614166656,87657371063,118.1582281,368.6800454,1.072591783,0.490908862
INNOVATORS.BO,368.6800454,inf,1.272780739,168.7,169.05,168,172,14400,18.4682045,7.752124646,12331239082,72614166656,87657371063,118.1582281,368.6800454,1.072591783,0.490908862
SELLWIN.BO,368.6800454,inf,1.272780739,15.19,15.9,14.5,15.9,8653,18.4682045,7.752124646,12331239082,72614166656,87657371063,118.1582281,368.6800454,1.072591783,0.490908862
GICL-SM.NS,368.6800454,inf,1.272780739,51.9,49.3,49.3,49.95,21000,18.4682045,7.752124646,12331239082,72614166656,87657371063,118.1582281,368.6800454,1.072591783,0.490908862
ASLIND-SM.NS,368.6800454,inf,1.272780739,667.6394034,668.5182914,660.4500689,682.8824728,774366.3473,18.4682045,7.752124646,12331239082,72614166656,87657371063,118.1582281,368.6800454,1.072591783,0.490908862
ORIENTELEC.BO,125.888,48.125004,-0.253,197.8,197.8,195,199.35,17997,4.08,7.752124646,1304050048,1239100032,26823700480,20.139,125.888,-0.255,0.017
AXISCCGPG.BO,368.6800454,inf,1.272780739,667.6394034,668.5182914,660.4500689,682.8824728,774366.3473,18.4682045,7.752124646,12331239082,72614166656,87657371063,118.1582281,368.6800454,1.072591783,0.490908862
SBIETFIT.NS,368.6800454,30.735826,1.272780739,381.46,381.46,367.37,381.46,45093,18.4682045,7.752124646,12331239082,72614166656,87657371063,118.1582281,368.6800454,1.072591783,0.490908862
MAHKTECH.NS,368.6800454,17.540836,1.272780739,12.62,12.6,12.26,12.62,2933899,18.4682045,7.752124646,12331239082,72614166656,87657371063,118.1582281,368.6800454,1.072591783,0.490908862
SBIETFPB.NS,368.6800454,19.156208,1.272780739,235.62,235.62,235.55,238.01,43378,18.4682045,7.752124646,12331239082,72614166656,87657371063,118.1582281,368.6800454,1.072591783,0.490908862
SBIETFCON.NS,368.6800454,51.624023,1.272780739,100.77,98.75,98,102.11,4401,18.4682045,7.752124646,12331239082,72614166656,87657371063,118.1582281,368.6800454,1.072591783,0.490908862
RHIM.BO,185.275,inf,-0.329,555.45,555.45,550,583.1,43283,-33.46,7.752124646,3773946624,5176417792,37168250880,12.734,185.275,-0.473,0.431
DSPNEWETF.NS,368.6800454,inf,1.272780739,283.05,280.01,278.01,283.15,38063,18.4682045,7.752124646,12331239082,72614166656,87657371063,118.1582281,368.6800454,1.072591783,0.490908862
POWERINDIA.BO,1150.607,303.07822,3.965,7321.45,7226.65,7111,7360,3080,23.65,7.752124646,2654050048,3384800000,48762200064,27.639,1150.607,4.019,0.232
HGINFRA.BO,798.729,11.274633,-0.22,902.45,898.05,892.05,913.15,11898,79.67,7.752124646,10013396992,14407459840,52056481792,66.708,798.729,-0.221,0.152
XELPMOC.BO,6.181,inf,1.272780739,111.4,111,107.25,116.9,14045,-7.61,7.752124646,-113451304,30901480,88811128,4.488,6.181,1.072591783,-0.71
ASAHIIND.BO,368.6800454,inf,1.272780739,667.6394034,668.5182914,660.4500689,682.8824728,774366.3473,18.4682045,7.752124646,12331239082,72614166656,87657371063,118.1582281,368.6800454,1.072591783,0.490908862
ICICITECH.BO,368.6800454,inf,1.272780739,667.6394034,668.5182914,660.4500689,682.8824728,774366.3473,18.4682045,7.752124646,12331239082,72614166656,87657371063,118.1582281,368.6800454,1.072591783,0.490908862
NXTDIGITAL.BO,368.6800454,inf,1.272780739,667.6394034,668.5182914,660.4500689,682.8824728,774366.3473,18.4682045,7.752124646,12331239082,72614166656,87657371063,118.1582281,368.6800454,1.072591783,0.490908862
11MPR.BO,368.6800454,inf,1.272780739,15.87,16.21,16,17.44,356,18.4682045,7.752124646,12331239082,72614166656,87657371063,118.1582281,368.6800454,1.072591783,0.490908862
GETALONG.BO,368.6800454,inf,1.272780739,217,217,217,217,1000,18.4682045,7.752124646,12331239082,72614166656,87657371063,118.1582281,368.6800454,1.072591783,0.490908862
MONQ50.BO,368.6800454,inf,1.272780739,61,60.25,60.25,61.89,6994,18.4682045,7.752124646,12331239082,72614166656,87657371063,118.1582281,368.6800454,1.072591783,0.490908862
GKP.BO,368.6800454,inf,1.272780739,10.52,10.3,10.3,11.21,37540,18.4682045,7.752124646,12331239082,72614166656,87657371063,118.1582281,368.6800454,1.072591783,0.490908862
AXISHETF.BO,368.6800454,inf,1.272780739,117.01,118.9,118.9,122,6,18.4682045,7.752124646,12331239082,72614166656,87657371063,118.1582281,368.6800454,1.072591783,0.490908862
AMBICAAGAR.BO,63.633,inf,1.272780739,28.83,30.5,28.23,30.5,14208,-1.23,7.752124646,72260496,660118016,1096524032,64.826,63.633,1.072591783,-0.094
NATCAPSPP.BO,368.6800454,inf,1.272780739,667.6394034,668.5182914,660.4500689,682.8824728,774366.3473,18.4682045,7.752124646,12331239082,72614166656,87657371063,118.1582281,368.6800454,1.072591783,0.490908862
SOLARA.BO,390.697,inf,1.272780739,382.7,382.05,379.6,387.45,14435,-85.64,7.752124646,-530275008,9848500224,14069000192,67.17,390.697,1.072591783,-0.37
KOTAKGOLD.BO,368.6800454,inf,1.272780739,56.99,56.32,56.25,56.7,10323,18.4682045,7.752124646,12331239082,72614166656,87657371063,118.1582281,368.6800454,1.072591783,0.490908862
ZIMLAB.BO,72.86,29.568453,-0.275,100,99.75,99,100.75,6299,3.36,7.752124646,402047264,624123008,3550542080,27.618,72.86,-0.274,-0.046
CHEMCON.BO,78.257,34.712326,-0.609,248.35,250,250,258.5,5428,7.3,7.752124646,362951488,393239008,2865833984,8.383,78.257,-0.61,-0.307
MODULEX.BO,368.6800454,inf,1.272780739,8,7.9,7.84,8.4,244347,18.4682045,7.752124646,12331239082,72614166656,87657371063,118.1582281,368.6800454,1.072591783,0.490908862
VARROC.BO,474.434,14.770629,17.755,495.25,499.35,496.95,512.05,10532,34.66,7.752124646,4264067584,14423910400,72480497664,135.329,474.434,17.694,0.098
SUBCAPCITY.NS,368.6800454,inf,1.272780739,667.6394034,668.5182914,660.4500689,682.8824728,774366.3473,18.4682045,7.752124646,12331239082,72614166656,87657371063,118.1582281,368.6800454,1.072591783,0.490908862
LICNETFSEN.NS,368.6800454,26.721611,1.272780739,796.67,796.67,796.67,800,7,18.4682045,7.752124646,12331239082,72614166656,87657371063,118.1582281,368.6800454,1.072591783,0.490908862
ICICIBANKP.NS,368.6800454,20.163908,1.272780739,247.54,247.49,246.36,248.15,9064,18.4682045,7.752124646,12331239082,72614166656,87657371063,118.1582281,368.6800454,1.072591783,0.490908862
MAFANG.BO,368.6800454,inf,1.272780739,84.95,84.95,84.15,84.95,55741,18.4682045,7.752124646,12331239082,72614166656,87657371063,118.1582281,368.6800454,1.072591783,0.490908862
SGNTE.BO,368.6800454,inf,1.272780739,0.55,0.54,0.53,0.57,77043,18.4682045,7.752124646,12331239082,72614166656,87657371063,118.1582281,368.6800454,1.072591783,0.490908862
MAHEPC.BO,88.979,116.42857,1.272780739,122.3,123.1,121.05,124.5,7773,1.05,7.752124646,74275000,309100000,2622299904,19.078,88.979,1.072591783,0.22
DRCSYSTEMS.BO,2.825,26.681818,0.298,17.07,17.4,16.81,17.85,37087,0.66,7.752124646,70023000,7280000,373321984,1.946,2.825,0.163,0.57
SUVIDHAA.BO,0.647,inf,1.272780739,6.1,6.22,5.91,6.4,62964,-0.54,7.752124646,-141195008,72614166656,137880000,118.1582281,0.647,1.072591783,-0.815
DALALSTCOM.BO,368.6800454,inf,1.272780739,667.6394034,668.5182914,660.4500689,682.8824728,774366.3473,18.4682045,7.752124646,12331239082,72614166656,87657371063,118.1582281,368.6800454,1.072591783,0.490908862
LINAKS.BO,368.6800454,inf,1.272780739,1.07,1.07,1.07,1.07,2,18.4682045,7.752124646,12331239082,72614166656,87657371063,118.1582281,368.6800454,1.072591783,0.490908862
KALYANKJIL.BO,168.935,75.25391,0.215,378,383,379.55,387.8,56798,5.12,7.752124646,11217777664,43770929152,1.74E+11,113.632,168.935,0.215,0.345
VKJINFRA.BO,368.6800454,inf,1.272780739,0.46,0.46,0.46,0.46,118477,18.4682045,7.752124646,12331239082,72614166656,87657371063,118.1582281,368.6800454,1.072591783,0.490908862
HITECH.BO,208.878,47.02465,0.101,129.75,129.35,128,138,82750,2.84,7.752124646,1152093312,3429775872,27201236992,75.85,208.878,0.135,0.107
DALBHARAT.BO,761.725,33.332767,0.289,1922.25,1929,1909.3,1970.55,7073,58.78,7.752124646,26812499968,53989998592,1.43E+11,33.507,761.725,0.29,0.073
IMEC.BO,368.6800454,inf,1.272780739,6.65,6.65,6.65,6.65,386,18.4682045,7.752124646,12331239082,72614166656,87657371063,118.1582281,368.6800454,1.072591783,0.490908862
KREONFIN.BO,368.6800454,inf,1.272780739,41.36,43.42,40,43.42,1317,18.4682045,7.752124646,12331239082,72614166656,87657371063,118.1582281,368.6800454,1.072591783,0.490908862
MADHUSE.BO,368.6800454,inf,1.272780739,27.91,27.36,27.36,27.36,39748,18.4682045,7.752124646,12331239082,72614166656,87657371063,118.1582281,368.6800454,1.072591783,0.490908862
VGIL.BO,368.6800454,inf,1.272780739,152,154,154,154,1100,18.4682045,7.752124646,12331239082,72614166656,87657371063,118.1582281,368.6800454,1.072591783,0.490908862
APTUS.BO,19.008,27.175966,0.255,313.15,312.2,312.1,318.3,5828,11.65,7.752124646,12331239082,72614166656,9483847680,118.1582281,19.008,0.25,0.221
ICDSLTD.BO,368.6800454,30.420168,1.272780739,38,37,36.1,37,941,1.19,7.752124646,12331239082,72614166656,87657371063,118.1582281,368.6800454,1.072591783,0.490908862
